yyyy;Index;D12;E12;b/m;tbl;AAA;BAA;lty;cay;ntis;Rfree;infl;eqis;ltr;corpr;svar;csp;ik;CRSP_SPvw;CRSP_SPvwx
1887;5,27;0,250;0,360;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0474956504;NaN;NaN;NaN;NaN;0,0182984598;NaN;NaN;NaN;NaN
1888;5,14;0,230;0,260;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0395907171;NaN;NaN;NaN;NaN;0,0128506019;NaN;NaN;NaN;NaN
1889;5,32;0,220;0,300;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0393592806;NaN;NaN;NaN;NaN;0,0068740375;NaN;NaN;NaN;NaN
1890;4,60;0,220;0,290;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0462910724;NaN;NaN;NaN;NaN;0,0226210589;NaN;NaN;NaN;NaN
1891;5,41;0,220;0,340;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0441652778;NaN;NaN;NaN;NaN;0,0161235317;NaN;NaN;NaN;NaN
1892;5,51;0,240;0,370;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0325194657;NaN;NaN;NaN;NaN;0,0108861598;NaN;NaN;NaN;NaN
1893;4,41;0,250;0,260;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0570885635;NaN;NaN;NaN;NaN;0,0545843904;NaN;NaN;NaN;NaN
1894;4,30;0,210;0,160;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0228455434;NaN;NaN;NaN;NaN;0,0167387383;NaN;NaN;NaN;NaN
1895;4,32;0,190;0,250;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0285405965;NaN;NaN;NaN;NaN;0,0286897057;NaN;NaN;NaN;NaN
1896;4,22;0,180;0,210;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0480048304;NaN;NaN;NaN;NaN;0,0464332345;NaN;NaN;NaN;NaN
1897;4,75;0,180;0,310;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0269877734;NaN;NaN;NaN;NaN;0,0227515174;NaN;NaN;NaN;NaN
1898;5,65;0,200;0,350;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0298396595;NaN;NaN;NaN;NaN;0,0324244079;NaN;NaN;NaN;NaN
1899;6,02;0,210;0,480;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0328968303;NaN;NaN;NaN;NaN;0,0270965419;NaN;NaN;NaN;NaN
1900;6,87;0,300;0,480;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0349880519;NaN;NaN;NaN;NaN;0,0171601144;NaN;NaN;NaN;NaN
1901;7,95;0,320;0,500;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0340771392;NaN;NaN;NaN;NaN;0,0372929866;NaN;NaN;NaN;NaN
1902;8,05;0,330;0,630;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0398939719;NaN;NaN;NaN;NaN;0,0133930277;NaN;NaN;NaN;NaN
1903;6,57;0,350;0,530;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0449452179;NaN;NaN;NaN;NaN;0,0247455819;NaN;NaN;NaN;NaN
1904;8,25;0,310;0,490;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0333641383;NaN;NaN;NaN;NaN;0,0126688400;NaN;NaN;NaN;NaN
1905;9,54;0,330;0,670;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0351457763;NaN;NaN;NaN;NaN;0,0156370054;NaN;NaN;NaN;NaN
1906;9,84;0,400;0,760;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0468521166;NaN;NaN;NaN;NaN;0,0170919239;NaN;NaN;NaN;NaN
1907;6,57;0,440;0,660;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0529676770;NaN;NaN;NaN;NaN;0,0479790573;NaN;NaN;NaN;NaN
1908;9,03;0,400;0,580;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0348855961;NaN;NaN;NaN;NaN;0,0200521094;NaN;NaN;NaN;NaN
1909;10,30;0,440;0,760;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0312935776;NaN;NaN;NaN;NaN;0,0100348557;NaN;NaN;NaN;NaN
1910;9,05;0,470;0,730;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0407500090;NaN;NaN;NaN;NaN;0,0189077751;NaN;NaN;NaN;NaN
1911;9,11;0,470;0,590;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0317427118;NaN;NaN;NaN;NaN;0,0077835738;NaN;NaN;NaN;NaN
1912;9,38;0,480;0,700;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0382545090;NaN;NaN;NaN;NaN;0,0064542955;NaN;NaN;NaN;NaN
1913;8,04;0,480;0,630;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0459563792;0,0236521013;NaN;NaN;NaN;0,0106753434;NaN;NaN;NaN;NaN
1914;7,35;0,420;0,520;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0386850543;0,0096360842;NaN;NaN;NaN;0,0116005586;NaN;NaN;NaN;NaN
1915;9,48;0,430;0,880;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0264901866;0,0195142948;NaN;NaN;NaN;0,0191049431;NaN;NaN;NaN;NaN
1916;9,80;0,560;1,530;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0262638142;0,1153545827;NaN;NaN;NaN;0,0178324743;NaN;NaN;NaN;NaN
1917;6,80;0,690;1,280;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0382109300;0,1825069844;NaN;NaN;NaN;0,0355615676;NaN;NaN;NaN;NaN
1918;7,90;0,570;0,990;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,0485799583;0,2027714424;NaN;NaN;NaN;0,0153612580;NaN;NaN;NaN;NaN
1919;8,92;0,530;0,930;NaN;NaN;0,0573;0,0777;0,0490;NaN;NaN;0,0444794847;0,1457532224;NaN;NaN;NaN;0,0245407923;NaN;NaN;NaN;NaN
1920;6,81;0,510;0,800;NaN;0,0588;0,0626;0,0856;0,0540;NaN;NaN;0,0588000000;0,0212383224;NaN;NaN;NaN;0,0334077996;NaN;NaN;NaN;NaN
1921;7,31;0,460;0,290;0,5965346535;0,0390;0,0550;0,0761;0,0447;NaN;NaN;0,0390000000;-0,1078699549;NaN;NaN;NaN;0,0190191204;NaN;NaN;NaN;NaN
1922;8,78;0,510;0,690;0,4726494856;0,0365;0,0508;0,0702;0,0432;NaN;NaN;0,0365000000;-0,0254839022;NaN;NaN;NaN;0,0147131012;NaN;NaN;NaN;NaN
1923;8,55;0,530;0,980;0,5402010050;0,0388;0,0509;0,0738;0,0435;NaN;NaN;0,0388000000;0,0256188543;NaN;NaN;NaN;0,0156969065;NaN;NaN;NaN;NaN
1924;10,16;0,550;0,930;0,4588830802;0,0257;0,0495;0,0646;0,0396;NaN;NaN;0,0257000000;-0,0019931737;NaN;NaN;NaN;0,0107215617;NaN;NaN;NaN;NaN
1925;12,46;0,600;1,250;0,3893782714;0,0351;0,0485;0,0615;0,0380;NaN;NaN;0,0351000000;0,0383283257;NaN;NaN;NaN;0,0135285056;NaN;NaN;NaN;NaN
1926;13,49;0,690;1,240;0,4414758270;0,0307;0,0468;0,0568;0,0354;NaN;0,0508852104;0,0307000000;-0,0150973837;NaN;0,0776952395;0,0737444051;0,0164862252;NaN;NaN;0,1220880241;0,0660875056
1927;17,66;0,770;1,110;0,3746885899;0,0317;0,0446;0,0532;0,0316;NaN;0,0764747520;0,0317000000;-0,0211756023;0,2655123544;0,0894486276;0,0744363694;0,0094190648;NaN;NaN;0,3583114223;0,2941024180
1928;24,35;0,850;1,380;0,2596666667;0,0426;0,0461;0,0560;0,0340;NaN;0,0630687383;0,0426000000;-0,0097931643;0,4974292871;0,0008272461;0,0284115621;0,0197993253;NaN;NaN;0,3896481673;0,3342683696
1929;21,45;0,970;1,610;0,3384578236;0,0303;0,0467;0,0595;0,0340;NaN;0,1635221721;0,0303000000;0,0018297138;0,7205929402;0,0340994674;0,0327300407;0,1246140116;NaN;NaN;-0,0852511678;-0,1186136513
1930;15,34;0,980;0,970;0,5547454126;0,0148;0,0452;0,0671;0,0330;NaN;0,1138872894;0,0148000000;-0,0606650910;0,3078474884;0,0464291951;0,0797505246;0,0666489193;NaN;NaN;-0,2632973499;-0,2961901904
1931;8,12;0,820;0,610;1,1707317073;0,0241;0,0532;0,1042;0,0407;NaN;-0,0129441955;0,0241000000;-0,0957114941;0,1446646984;-0,0531573493;-0,0185098199;0,1594027400;NaN;NaN;-0,4553620309;-0,4893166439
1932;6,89;0,500;0,410;1,4420843014;0,0004;0,0459;0,0842;0,0315;NaN;-0,0050315710;0,0004000000;-0,1035777048;0,0372670807;0,1684521131;0,1082022408;0,3074516565;NaN;NaN;-0,0886843893;-0,1479779299
1933;10,10;0,440;0,440;0,8290260464;0,0029;0,0450;0,0775;0,0336;NaN;0,0061958281;0,0029000000;0,0042985847;0,4010554090;-0,0006930265;0,1037605627;0,2218169558;NaN;NaN;0,5353729347;0,4754646071
1934;9,50;0,450;0,490;0,7737408689;0,0023;0,0381;0,0623;0,0293;NaN;0,0208147193;0,0023000000;0,0201040904;0,0712830957;0,1001499787;0,1384344607;0,0665917604;NaN;NaN;-0,0257425451;-0,0625637382
1935;13,43;0,470;0,760;0,5599111913;0,0015;0,0344;0,0530;0,0276;NaN;0,0086888346;0,0015000000;0,0296053183;0,0661959400;0,0499608756;0,0961485607;0,0355068356;NaN;NaN;0,4572667902;0,4008160701
1936;17,18;0,720;1,020;0,4585881045;0,0012;0,0310;0,0453;0,0255;NaN;0,0252247216;0,0012000000;0,0119625642;0,1205766710;0,0749580625;0,0674428368;0,0312564367;NaN;NaN;0,3362255414;0,2815090621
1937;10,55;0,800;1,130;0,7074886223;0,0011;0,0321;0,0573;0,0273;NaN;0,0317777282;0,0011000000;0,0308512923;0,3123715577;0,0023264739;0,0274673148;0,0996325926;0,0028331217;NaN;-0,3601743611;-0,3943959083
1938;13,21;0,510;0,640;0,5720393884;0,0003;0,0308;0,0527;0,0252;NaN;0,0057217127;0,0003000000;-0,0279609209;0,0449227890;0,0551181729;0,0613265536;0,1121428296;0,0041669638;NaN;0,2931384297;0,2427237080
1939;12,49;0,620;0,900;0,5807053804;0,0004;0,0294;0,0492;0,0226;NaN;0,0025507841;0,0004000000;-0,0049931762;0,0854898336;0,0594971434;0,0396627601;0,0664203137;0,0060740339;NaN;-0,0106945432;-0,0562923361
1940;10,58;0,670;1,050;0,7290475101;0,0002;0,0271;0,0445;0,0194;NaN;0,0125891885;0,0002000000;0,0095121420;0,1187115454;0,0609224311;0,0339408516;0,0480499948;0,0042619728;NaN;-0,0975272969;-0,1514208211
1941;8,69;0,710;1,160;0,8895097332;0,0033;0,0280;0,0438;0,0204;NaN;0,0103428263;0,0033000000;0,0965489832;0,1142093201;0,0093182080;0,0273141837;0,0224724277;0,0034469828;NaN;-0,1172550380;-0,1796073840
1942;9,77;0,590;1,030;0,8626465662;0,0038;0,0281;0,0428;0,0246;NaN;0,0018120043;0,0038000000;0,0924356396;0,1238003839;0,0321784290;0,0259811379;0,0180509786;0,0051009425;NaN;0,2088869370;0,1293340365
1943;11,67;0,610;0,940;0,7874015748;0,0038;0,0274;0,0382;0,0248;NaN;0,0144225261;0,0038000000;0,0313356268;0,1643059490;0,0208788999;0,0283259345;0,0160865304;0,0019623979;NaN;0,2664030126;0,2030702305
1944;13,28;0,640;0,930;0,7437635753;0,0038;0,0270;0,0349;0,0246;NaN;0,0190624465;0,0038000000;0,0210122036;0,1645244216;0,0281508917;0,0473218913;0,0083995027;0,0035223172;NaN;0,2114633879;0,1511438923
1945;17,36;0,660;0,960;0,6132393344;0,0038;0,0261;0,0310;0,0199;-0,0407948108;0,0255252783;0,0038000000;0,0224158663;0,2117400419;0,1073090389;0,0407567428;0,0159692444;0,0043280057;NaN;0,3670606555;0,3101428010
1946;15,30;0,710;1,060;0,6924379233;0,0038;0,0261;0,0317;0,0212;0,0577487453;0,0360760605;0,0038000000;0,1787034298;0,3184821017;-0,0008419237;0,0172295564;0,0463710920;0,0017810408;NaN;-0,0928820804;-0,1284955165
1947;15,30;0,840;1,610;0,7253256790;0,0095;0,0286;0,0352;0,0243;0,0737912538;0,0259215953;0,0095000000;0,0892673084;0,2396298660;-0,0262746615;-0,0233638347;0,0193385201;0,0047609245;0,0344306225;0,0490909219;-0,0064996963
1948;15,20;0,930;2,290;0,8409475465;0,0116;0,0279;0,0353;0,0237;0,0563109322;0,0150145541;0,0116000000;0,0273387441;0,1571404485;0,0338501479;0,0413587871;0,0220998101;0,0016330103;0,0348916828;0,0525550736;-0,0084284300
1949;16,76;1,140;2,320;0,7964292839;0,0110;0,0258;0,0331;0,0209;0,0495977980;0,0271755847;0,0110000000;-0,0182952183;0,1918691125;0,0643905297;0,0330876243;0,0123059155;0,0042520180;0,0289801676;0,1805733337;0,0977053134
1950;20,41;1,470;2,840;0,7225384419;0,0134;0,0267;0,0320;0,0224;0,0046539817;0,0313582559;0,0134000000;0,0580262601;0,2270227808;0,0005048300;0,0211518121;0,0214613086;0,0056625153;0,0344378548;0,3294569051;0,2302988288
1951;23,77;1,410;2,440;0,7213163466;0,0173;0,0301;0,0361;0,0269;0,0059927864;0,0361507878;0,0173000000;0,0596477182;0,2648236662;-0,0394216053;-0,0269030904;0,0121822396;0,0041468933;0,0325421232;0,2342493644;0,1601987296
1952;26,57;1,410;2,400;0,6940733128;0,0209;0,0297;0,0351;0,0279;0,0051396069;0,0265347164;0,0209000000;0,0090668682;0,2024971147;0,0116931021;0,0352092236;0,0065900114;0,0034459187;0,0318845141;0,1894224780;0,1227970598
1953;24,81;1,450;2,510;0,7597009612;0,0160;0,0313;0,0374;0,0274;-0,0068596454;0,0248222723;0,0160000000;0,0059902658;0,2039784221;0,0362581936;0,0341144247;0,0082794787;0,0027933096;0,0331259379;-0,0170741817;-0,0730160768
1954;35,98;1,540;2,770;0,6041197854;0,0115;0,0290;0,0345;0,0272;0,0088411190;0,0269928125;0,0115000000;-0,0037216226;0,2131974362;0,0717764678;0,0538584853;0,0083898136;0,0028454745;0,0316660646;0,5264830511;0,4499367806
1955;45,48;1,640;3,620;0,5098280098;0,0254;0,0315;0,0362;0,0295;-0,0091819879;0,0252445499;0,0254000000;0,0037355248;0,2753906250;-0,0128344889;0,0047973698;0,0216202088;0,0002437992;0,0358140928;0,3129824890;0,2579078378
1956;46,67;1,740;3,410;0,5441768274;0,0321;0,0375;0,0437;0,0345;-0,0164516127;0,0261493673;0,0321000000;0,0282843320;0,2684888930;-0,0559421649;-0,0681462678;0,0138899243;0,0009698413;0,0344876859;0,0642743317;0,0218089804
1957;39,99;1,790;3,370;0,6536757786;0,0304;0,0381;0,0503;0,0323;-0,0091964607;0,0348731470;0,0304000000;0,0304017372;0,2270010092;0,0746646691;0,0871354576;0,0175468510;0,0006679271;0,0331949396;-0,1081468868;-0,1470136996
1958;55,21;1,750;2,890;0,5117793198;0,0277;0,0408;0,0485;0,0382;0,0035598554;0,0236868316;0,0277000000;0,0175623463;0,1648351648;-0,0610620354;-0,0221699116;0,0084892240;0,0015858124;0,0294730583;0,4374168546;0,3827525215
1959;59,89;1,830;3,390;0,4577837965;0,0449;0,0458;0,0528;0,0447;0,0035258585;0,0228563041;0,0449000000;0,0151881256;0,2624397250;-0,0226635570;-0,0096678958;0,0084492905;0,0009753718;0,0314723094;0,1240082854;0,0880557826
1960;58,11;1,950;3,270;0,5504229651;0,0225;0,0435;0,0510;0,0380;0,0092659416;0,0227613608;0,0225000000;0,0136008160;0,2041559976;0,1379339434;0,0906649155;0,0101605859;-0,0013625136;0,0312929341;0,0059007576;-0,0284610760
1961;71,55;2,020;3,190;0,5059222584;0,0260;0,0442;0,0510;0,0415;0,0047822786;0,0223242879;0,0260000000;0,0067091580;0,2844120328;0,0096784267;0,0481831888;0,0064878726;-0,0022107435;0,0318174767;0,2710701961;0,2335554726
1962;63,10;2,130;3,670;0,5916270511;0,0287;0,0424;0,0492;0,0395;0,0042630824;0,0199678967;0,0287000000;0,0123292236;0,1621672116;0,0688294893;0,0794503633;0,0284891911;-0,0027965748;0,0327241959;-0,0874816194;-0,1183940659
1963;75,02;2,280;4,020;0,5255914542;0,0352;0,0435;0,0485;0,0417;0,0037028693;0,0089546781;0,0352000000;0,0164581962;0,1114743380;0,0121436448;0,0219487476;0,0075715285;-0,0014968686;0,0347373450;0,2268632559;0,1877667237
1964;84,75;2,500;4,550;0,4872273003;0,0384;0,0444;0,0481;0,0423;-0,0074628404;0,0230944256;0,0384000000;0,0119818653;0,2214659311;0,0351170290;0,0477231318;0,0028384180;-0,0023805734;0,0369444568;0,1667927690;0,1318516683
1965;92,43;2,720;5,190;0,4306378062;0,0438;0,0468;0,0502;0,0450;-0,0130685385;0,0208371829;0,0438000000;0,0192000000;0,1420710355;0,0070193698;-0,0045679390;0,0045906541;-0,0008128875;0,0418404334;0,1261044666;0,0922247915
1966;80,33;2,870;5,550;0,5769451056;0,0496;0,0539;0,0618;0,0455;-0,0119368564;0,0172079259;0,0496000000;0,0335949765;0,1390471975;0,0364500828;0,0019529199;0,0141041313;-0,0000498789;0,0417597356;-0,1019558205;-0,1320755529
1967;96,47;2,920;5,330;0,5257924451;0,0497;0,0619;0,0693;0,0556;-0,0297112919;0,0143610729;0,0497000000;0,0328068044;0,1146866683;-0,0917652652;-0,0495058682;0,0069690297;0,0029522247;0,0389600504;0,2396152265;0,2010478172
1968;103,86;3,070;5,760;0,5049006623;0,0596;0,0645;0,0723;0,0598;-0,0375926876;0,0319614907;0,0596000000;0,0470588235;0,2086406264;-0,0025737775;0,0257391321;0,0074676838;0,0023475611;0,0389904441;0,1082662744;0,0743316131
1969;92,06;3,160;5,780;0,6510820131;0,0782;0,0772;0,0865;0,0687;-0,0259924395;0,0342737833;0,0782000000;0,0589887640;0,3139513144;-0,0507360149;-0,0809043139;0,0100469017;0,0008222518;0,0391286956;-0,0831867418;-0,1130552437
1970;92,15;3,140;5,130;0,6464263577;0,0487;0,0764;0,0912;0,0648;-0,0300990528;0,0314681737;0,0487000000;0,0557029178;0,2228841413;0,1210218070;0,1837137902;0,0231872901;0,0015125012;0,0355202357;0,0398707262;0,0016368890
1971;102,09;3,070;5,700;0,6439002471;0,0401;0,0725;0,0838;0,0597;-0,0460178042;0,0340233587;0,0401000000;0,0326633166;0,2874473276;0,1323672163;0,1101258599;0,0105586691;0,0022538795;0,0357911779;0,1445096560;0,1091194810
1972;118,05;3,150;6,420;0,5956745946;0,0507;0,0708;0,0793;0,0599;-0,0479155572;0,0342034837;0,0507000000;0,0340632603;0,3112948972;0,0568244212;0,0725975175;0,0064145061;0,0003114465;0,0383679980;0,1911709947;0,1576285747
1973;97,55;3,380;8,160;0,7555884634;0,0745;0,0768;0,0848;0,0726;-0,0479531490;0,0130073951;0,0745000000;0,0894117647;0,3330837651;-0,0111038792;0,0113949647;0,0253603930;-0,0006401994;0,0403920669;-0,1479659850;-0,1748789560
1974;68,56;3,600;8,890;1,1200181747;0,0715;0,0889;0,1063;0,0760;-0,0249690367;0,0087733076;0,0715000000;0,1209503240;0,1630644740;0,0434264930;-0,0306175125;0,0484416389;-0,0008304879;0,0365500627;-0,2642616772;-0,2966192276
1975;90,19;3,680;7,960;0,8763388510;0,0544;0,0879;0,1056;0,0805;-0,0255002247;0,0237094285;0,0544000000;0,0712909441;0,2025998732;0,0918688772;0,1464425633;0,0245544468;-0,0004651156;0,0328334508;0,3696248057;0,3136593997
1976;107,46;4,050;9,910;0,7799731250;0,0435;0,0798;0,0912;0,0721;-0,0179493296;0,0285657060;0,0435000000;0,0503597122;0,2079280292;0,1676451102;0,1864686938;0,0124756431;-0,0011227041;0,0341154752;0,2391598367;0,1911752505
1977;95,10;4,670;10,890;0,9603330245;0,0607;0,0819;0,0899;0,0803;-0,0115701062;0,0304755411;0,0607000000;0,0667808219;0,2189359012;-0,0069885475;0,0170977832;0,0084026661;-0,0018338899;0,0369577446;-0,0742660551;-0,1169251284
1978;96,11;5,070;12,330;1,0457012956;0,0908;0,0916;0,0994;0,0898;-0,0103391833;0,0148748730;0,0908000000;0,0898876404;0,2194491525;-0,0116586903;-0,0007035631;0,0162036036;-0,0015481539;0,0410156044;0,0641148819;0,0094480290
1979;107,94;5,650;14,860;1,0619500680;0,1204;0,1074;0,1206;0,1012;-0,0066339480;0,0105492993;0,1204000000;0,1325478645;0,2200567387;-0,0125031159;-0,0420041055;0,0121402039;-0,0003711309;0,0405549523;0,1858775503;0,1228349941
1980;135,76;6,160;14,820;0,8915030239;0,1549;0,1321;0,1514;0,1199;-0,0056178823;0,0268163590;0,1549000000;0,1235370611;0,2780242893;-0,0395298640;-0,0275652601;0,0279486249;0,0010201575;0,0378530526;0,3259018391;0,2598405964
1981;122,55;6,630;15,360;1,0611428571;0,1085;0,1423;0,1655;0,1334;0,0032884196;0,0119096731;0,1085000000;0,0891203704;0,3621751368;0,0185697056;-0,0123619324;0,0182933714;-0,0012794664;0,0390580284;-0,0486389437;-0,0965327926
1982;140,64;6,870;12,640;0,9322147266;0,0794;0,1183;0,1414;0,1095;0,0073358861;0,0029900535;0,0794000000;0,0382571732;0,3647539027;0,4035036914;0,4256189930;0,0336212758;-0,0013463488;0,0332283208;0,2214058493;0,1539185964
1983;164,93;7,090;14,030;0,7003591178;0,0900;0,1257;0,1375;0,1197;0,0236906663;0,0270204799;0,0900000000;0,0378710338;0,4300077533;0,0065190631;0,0625857638;0,0175435586;-0,0016937271;0,0355792147;0,2228671967;0,1701816350
1984;167,24;7,530;16,640;0,7330983765;0,0806;0,1213;0,1340;0,1170;0,0148782235;-0,0271967866;0,0806000000;0,0404339250;0,1707374124;0,1549249798;0,1686015770;0,0160810918;-0,0011276635;0,0389104965;0,0668990781;0,0183949595
1985;211,28;7,900;14,610;0,5926926882;0,0710;0,1016;0,1158;0,0956;0,0243990202;-0,0194650815;0,0710000000;0,0379146919;0,1764553905;0,3097114501;0,3009088979;0,0104261758;-0,0017213560;0,0378824996;0,3197942599;0,2661981306
1986;242,17;8,280;14,480;0,4984308658;0,0553;0,0849;0,0997;0,0789;0,0115289564;-0,0113790259;0,0553000000;0,0118721461;0,1647341554;0,2452123788;0,1984747725;0,0214286781;-0,0022403247;0,0346719877;0,1806600347;0,1387031494
1987;247,08;8,810;17,500;0,5088120155;0,0577;0,1011;0,1129;0,0920;0,0225145200;0,0132747560;0,0577000000;0,0433212996;0,1504068250;-0,0271656845;-0,0026759109;0,0976615822;-0,0027006902;0,0342895260;0,0515578982;0,0164201051
1988;277,72;9,730;23,750;0,4652835740;0,0807;0,0957;0,1065;0,0918;0,0219198817;-0,0214057475;0,0807000000;0,0441176471;0,1146444012;0,0966658520;0,1070412094;0,0288671624;-0,0022913172;0,0346277360;0,1696176223;0,1205681128
1989;353,40;11,050;22,870;0,3904547436;0,0763;0,0886;0,0982;0,0816;0,0275529967;-0,0123231067;0,0763000000;0,0463960232;0,0977872384;0,1809749975;0,1623136341;0,0168005524;-0,0029288342;0,0347815872;0,3137145913;0,2675205215
1990;330,22;12,090;21,340;0,4844968599;0,0674;0,0905;0,1043;0,0844;0,0343792410;-0,0018414582;0,0674000000;0,0625494854;0,0783453264;0,0616924995;0,0678273490;0,0254551676;-0,0023382328;0,0329346129;-0,0319220979;-0,0661856817
1991;417,09;12,200;15,970;0,4203444173;0,0407;0,0831;0,0926;0,0730;0,0274754064;0,0315654015;0,0407000000;0,0298062593;0,1527669525;0,1926493998;0,1988896677;0,0204690125;-0,0012532164;0,0304813093;0,3067168478;0,2659830413
1992;435,71;12,380;19,090;0,3941096142;0,0322;0,0798;0,0881;0,0726;0,0187213670;0,0387331238;0,0322000000;0,0296671491;0,1501948818;0,0805357964;0,0939343374;0,0092538125;-0,0011115236;0,0323952817;0,0772104674;0,0459159165
1993;466,45;12,580;21,890;0,3052672229;0,0306;0,0693;0,0769;0,0654;0,0295337912;0,0457487578;0,0306000000;0,0281096275;0,1441150718;0,1823458183;0,1318500400;0,0072944043;-0,0010124970;0,0341825913;0,0989111709;0,0685814347
1994;459,27;13,180;30,600;0,2915683000;0,0560;0,0846;0,0910;0,0799;0,0400894431;0,0165947569;0,0560000000;0,0259740260;0,1203902847;-0,0777707763;-0,0576106963;0,0095472710;-0,0005760069;0,0360797212;0,0136065844;-0,0148770250
1995;615,93;13,790;33,960;0,2550263829;0,0514;0,0682;0,0749;0,0603;0,0359901427;0,0156410262;0,0514000000;0,0253164557;0,1212407197;0,3165649287;0,2720423547;0,0063173938;-0,0001466042;0,0370680737;0,3766464752;0,3425616303
