yyyymm;Index;D12;E12;b/m;tbl;AAA;BAA;lty;ntis;Rfree;infl;ltr;corpr;svar;csp;CRSP_SPvw;CRSP_SPvwx
187507;4,39;0,3125;0,4017;NaN;NaN;NaN;NaN;NaN;NaN;0,0028160749;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187508;4,41;0,3100;0,3933;NaN;NaN;NaN;NaN;NaN;NaN;0,0032795563;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187509;4,37;0,3075;0,3850;NaN;NaN;NaN;NaN;NaN;NaN;0,0039780510;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187510;4,30;0,3050;0,3767;NaN;NaN;NaN;NaN;NaN;NaN;0,0042867037;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187511;4,37;0,3025;0,3683;NaN;NaN;NaN;NaN;NaN;NaN;0,0043454838;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187512;4,37;0,3000;0,3600;NaN;NaN;NaN;NaN;NaN;NaN;0,0045071116;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187601;4,46;0,3000;0,3533;NaN;NaN;NaN;NaN;NaN;NaN;0,0043822197;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187602;4,52;0,3000;0,3467;NaN;NaN;NaN;NaN;NaN;NaN;0,0035663658;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187603;4,51;0,3000;0,3400;NaN;NaN;NaN;NaN;NaN;NaN;0,0036104830;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187604;4,34;0,3000;0,3333;NaN;NaN;NaN;NaN;NaN;NaN;0,0036913596;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187605;4,18;0,3000;0,3267;NaN;NaN;NaN;NaN;NaN;NaN;0,0033604596;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187606;4,15;0,3000;0,3200;NaN;NaN;NaN;NaN;NaN;NaN;0,0031397988;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187607;4,10;0,3000;0,3133;NaN;NaN;NaN;NaN;NaN;NaN;0,0024480795;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187608;3,93;0,3000;0,3067;NaN;NaN;NaN;NaN;NaN;NaN;0,0022934811;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187609;3,69;0,3000;0,3000;NaN;NaN;NaN;NaN;NaN;NaN;0,0031397988;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187610;3,67;0,3000;0,2933;NaN;NaN;NaN;NaN;NaN;NaN;0,0038163377;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187611;3,60;0,3000;0,2867;NaN;NaN;NaN;NaN;NaN;NaN;0,0036472459;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187612;3,58;0,3000;0,2800;NaN;NaN;NaN;NaN;NaN;NaN;0,0039707009;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187701;3,55;0,2908;0,2817;NaN;NaN;NaN;NaN;NaN;NaN;0,0037281195;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187702;3,34;0,2817;0,2833;NaN;NaN;NaN;NaN;NaN;NaN;0,0029558776;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187703;3,17;0,2725;0,2850;NaN;NaN;NaN;NaN;NaN;NaN;0,0029117315;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187704;2,94;0,2633;0,2867;NaN;NaN;NaN;NaN;NaN;NaN;0,0028675834;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187705;2,94;0,2542;0,2883;NaN;NaN;NaN;NaN;NaN;NaN;0,0025879337;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187706;2,73;0,2450;0,2900;NaN;NaN;NaN;NaN;NaN;NaN;0,0026320941;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187707;2,85;0,2358;0,2917;NaN;NaN;NaN;NaN;NaN;NaN;0,0026909716;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187708;3,05;0,2267;0,2933;NaN;NaN;NaN;NaN;NaN;NaN;0,0037942839;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187709;3,24;0,2175;0,2950;NaN;NaN;NaN;NaN;NaN;NaN;0,0043381365;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187710;3,31;0,2083;0,2967;NaN;NaN;NaN;NaN;NaN;NaN;0,0049771528;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187711;3,26;0,1992;0,2983;NaN;NaN;NaN;NaN;NaN;NaN;0,0041985269;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187712;3,25;0,1900;0,3000;NaN;NaN;NaN;NaN;NaN;NaN;0,0037795811;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187801;3,25;0,1892;0,3008;NaN;NaN;NaN;NaN;NaN;NaN;0,0039486505;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187802;3,18;0,1883;0,3017;NaN;NaN;NaN;NaN;NaN;NaN;0,0035516596;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187803;3,24;0,1875;0,3025;NaN;NaN;NaN;NaN;NaN;NaN;0,0034119401;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187804;3,33;0,1867;0,3033;NaN;NaN;NaN;NaN;NaN;NaN;0,0035884246;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187805;3,34;0,1858;0,3042;NaN;NaN;NaN;NaN;NaN;NaN;0,0029779500;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187806;3,41;0,1850;0,3050;NaN;NaN;NaN;NaN;NaN;NaN;0,0024480795;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187807;3,48;0,1842;0,3058;NaN;NaN;NaN;NaN;NaN;NaN;0,0022934811;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187808;3,45;0,1833;0,3067;NaN;NaN;NaN;NaN;NaN;NaN;0,0024480795;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187809;3,52;0,1825;0,3075;NaN;NaN;NaN;NaN;NaN;NaN;0,0030441640;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187810;3,48;0,1817;0,3083;NaN;NaN;NaN;NaN;NaN;NaN;0,0036545983;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187811;3,47;0,1808;0,3092;NaN;NaN;NaN;NaN;NaN;NaN;0,0034119401;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187812;3,45;0,1800;0,3100;NaN;NaN;NaN;NaN;NaN;NaN;0,0033678142;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187901;3,58;0,1817;0,3158;NaN;NaN;NaN;NaN;NaN;NaN;0,0028307919;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187902;3,71;0,1833;0,3217;NaN;NaN;NaN;NaN;NaN;NaN;0,0024480795;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187903;3,65;0,1850;0,3275;NaN;NaN;NaN;NaN;NaN;NaN;0,0033678142;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187904;3,77;0,1867;0,3333;NaN;NaN;NaN;NaN;NaN;NaN;0,0036545983;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187905;3,94;0,1883;0,3392;NaN;NaN;NaN;NaN;NaN;NaN;0,0029117315;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187906;3,96;0,1900;0,3450;NaN;NaN;NaN;NaN;NaN;NaN;0,0027719226;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187907;4,04;0,1917;0,3508;NaN;NaN;NaN;NaN;NaN;NaN;0,0025143287;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187908;4,07;0,1933;0,3567;NaN;NaN;NaN;NaN;NaN;NaN;0,0037354713;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187909;4,22;0,1950;0,3625;NaN;NaN;NaN;NaN;NaN;NaN;0,0038971976;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187910;4,68;0,1967;0,3683;NaN;NaN;NaN;NaN;NaN;NaN;0,0040148003;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187911;4,93;0,1983;0,3742;NaN;NaN;NaN;NaN;NaN;NaN;0,0042426162;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187912;4,92;0,2000;0,3800;NaN;NaN;NaN;NaN;NaN;NaN;0,0040221500;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188001;5,11;0,2050;0,3892;NaN;NaN;NaN;NaN;NaN;NaN;0,0036031303;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188002;5,20;0,2100;0,3983;NaN;NaN;NaN;NaN;NaN;NaN;0,0035516596;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188003;5,30;0,2150;0,4075;NaN;NaN;NaN;NaN;NaN;NaN;0,0036913596;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188004;5,18;0,2200;0,4167;NaN;NaN;NaN;NaN;NaN;NaN;0,0036913596;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188005;4,77;0,2250;0,4258;NaN;NaN;NaN;NaN;NaN;NaN;0,0034634180;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188006;4,79;0,2300;0,4350;NaN;NaN;NaN;NaN;NaN;NaN;0,0029926646;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188007;5,01;0,2350;0,4442;NaN;NaN;NaN;NaN;NaN;NaN;0,0029117315;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188008;5,19;0,2400;0,4533;NaN;NaN;NaN;NaN;NaN;NaN;0,0033457504;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188009;5,18;0,2450;0,4625;NaN;NaN;NaN;NaN;NaN;NaN;0,0035075398;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188010;5,33;0,2500;0,4717;NaN;NaN;NaN;NaN;NaN;NaN;0,0034119401;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188011;5,61;0,2550;0,4808;NaN;NaN;NaN;NaN;NaN;NaN;0,0036472459;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188012;5,84;0,2600;0,4900;NaN;NaN;NaN;NaN;NaN;NaN;0,0040588978;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188101;6,19;0,2650;0,4858;NaN;NaN;NaN;NaN;NaN;NaN;0,0035075398;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188102;6,17;0,2700;0,4817;NaN;NaN;NaN;NaN;NaN;NaN;0,0036031303;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188103;6,24;0,2750;0,4775;NaN;NaN;NaN;NaN;NaN;NaN;0,0037281195;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188104;6,22;0,2800;0,4733;NaN;NaN;NaN;NaN;NaN;NaN;0,0034634180;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188105;6,50;0,2850;0,4692;NaN;NaN;NaN;NaN;NaN;NaN;0,0026320941;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188106;6,58;0,2900;0,4650;NaN;NaN;NaN;NaN;NaN;NaN;0,0022198544;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188107;6,35;0,2950;0,4608;NaN;NaN;NaN;NaN;NaN;NaN;0,0025879337;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188108;6,20;0,3000;0,4567;NaN;NaN;NaN;NaN;NaN;NaN;0,0032869114;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188109;6,25;0,3050;0,4525;NaN;NaN;NaN;NaN;NaN;NaN;0,0038310400;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188110;6,15;0,3100;0,4483;NaN;NaN;NaN;NaN;NaN;NaN;0,0042426162;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188111;6,19;0,3150;0,4442;NaN;NaN;NaN;NaN;NaN;NaN;0,0042793559;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188112;6,01;0,3200;0,4400;NaN;NaN;NaN;NaN;NaN;NaN;0,0042426162;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188201;5,92;0,3200;0,4392;NaN;NaN;NaN;NaN;NaN;NaN;0,0036913596;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188202;5,79;0,3200;0,4383;NaN;NaN;NaN;NaN;NaN;NaN;0,0036693030;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188203;5,78;0,3200;0,4375;NaN;NaN;NaN;NaN;NaN;NaN;0,0037942839;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188204;5,78;0,3200;0,4367;NaN;NaN;NaN;NaN;NaN;NaN;0,0033678142;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188205;5,71;0,3200;0,4358;NaN;NaN;NaN;NaN;NaN;NaN;0,0032133578;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188206;5,68;0,3200;0,4350;NaN;NaN;NaN;NaN;NaN;NaN;0,0034119401;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188207;6,00;0,3200;0,4342;NaN;NaN;NaN;NaN;NaN;NaN;0,0030441640;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188208;6,18;0,3200;0,4333;NaN;NaN;NaN;NaN;NaN;NaN;0,0038016352;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188209;6,24;0,3200;0,4325;NaN;NaN;NaN;NaN;NaN;NaN;0,0046099519;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188210;6,07;0,3200;0,4317;NaN;NaN;NaN;NaN;NaN;NaN;0,0045511873;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188211;5,81;0,3200;0,4308;NaN;NaN;NaN;NaN;NaN;NaN;0,0044263010;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188212;5,84;0,3200;0,4300;NaN;NaN;NaN;NaN;NaN;NaN;0,0039707009;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188301;5,81;0,3208;0,4275;NaN;NaN;NaN;NaN;NaN;NaN;0,0036913596;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188302;5,68;0,3217;0,4250;NaN;NaN;NaN;NaN;NaN;NaN;0,0036031303;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188303;5,75;0,3225;0,4225;NaN;NaN;NaN;NaN;NaN;NaN;0,0043381365;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188304;5,87;0,3233;0,4200;NaN;NaN;NaN;NaN;NaN;NaN;0,0039192492;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188305;5,77;0,3242;0,4175;NaN;NaN;NaN;NaN;NaN;NaN;0,0035810718;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188306;5,82;0,3250;0,4150;NaN;NaN;NaN;NaN;NaN;NaN;0,0036913596;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188307;5,73;0,3258;0,4125;NaN;NaN;NaN;NaN;NaN;NaN;0,0031618671;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188308;5,47;0,3267;0,4100;NaN;NaN;NaN;NaN;NaN;NaN;0,0037722296;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188309;5,53;0,3275;0,4075;NaN;NaN;NaN;NaN;NaN;NaN;0,0040588978;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188310;5,38;0,3283;0,4050;NaN;NaN;NaN;NaN;NaN;NaN;0,0040588978;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188311;5,46;0,3292;0,4025;NaN;NaN;NaN;NaN;NaN;NaN;0,0038310400;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188312;5,34;0,3300;0,4000;NaN;NaN;NaN;NaN;NaN;NaN;0,0036913596;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188401;5,18;0,3283;0,3925;NaN;NaN;NaN;NaN;NaN;NaN;0,0032427799;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188402;5,32;0,3267;0,3850;NaN;NaN;NaN;NaN;NaN;NaN;0,0031397988;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188403;5,30;0,3250;0,3775;NaN;NaN;NaN;NaN;NaN;NaN;0,0030441640;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188404;5,06;0,3233;0,3700;NaN;NaN;NaN;NaN;NaN;NaN;0,0031177301;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188405;4,65;0,3217;0,3625;NaN;NaN;NaN;NaN;NaN;NaN;0,0033678142;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188406;4,46;0,3200;0,3550;NaN;NaN;NaN;NaN;NaN;NaN;0,0038751456;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188407;4,46;0,3183;0,3475;NaN;NaN;NaN;NaN;NaN;NaN;0,0040221500;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188408;4,74;0,3167;0,3400;NaN;NaN;NaN;NaN;NaN;NaN;0,0036913596;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188409;4,59;0,3150;0,3325;NaN;NaN;NaN;NaN;NaN;NaN;0,0036913596;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188410;4,44;0,3133;0,3250;NaN;NaN;NaN;NaN;NaN;NaN;0,0036913596;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188411;4,35;0,3117;0,3175;NaN;NaN;NaN;NaN;NaN;NaN;0,0034634180;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188412;4,34;0,3100;0,3100;NaN;NaN;NaN;NaN;NaN;NaN;0,0033236862;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188501;4,24;0,3042;0,3067;NaN;NaN;NaN;NaN;NaN;NaN;0,0030956608;NaN;NaN;NaN;NaN;NaN;NaN;NaN
188502;4,37;0,2983;0,3033;NaN;NaN;NaN;NaN;NaN;NaN;0,0029558776;NaN;NaN;NaN;0,0015390211;NaN;NaN;NaN
188503;4,38;0,2925;0,3000;NaN;NaN;NaN;NaN;NaN;NaN;0,0029338048;NaN;NaN;NaN;0,0015445583;NaN;NaN;NaN
188504;4,37;0,2867;0,2967;NaN;NaN;NaN;NaN;NaN;NaN;0,0025658528;NaN;NaN;NaN;0,0017984027;NaN;NaN;NaN
188505;4,32;0,2808;0,2933;NaN;NaN;NaN;NaN;NaN;NaN;0,0023523785;NaN;NaN;NaN;0,0018053802;NaN;NaN;NaN
188506;4,30;0,2750;0,2900;NaN;NaN;NaN;NaN;NaN;NaN;0,0022566684;NaN;NaN;NaN;0,0010968395;NaN;NaN;NaN
188507;4,46;0,2692;0,2867;NaN;NaN;NaN;NaN;NaN;NaN;0,0022198544;NaN;NaN;NaN;0,0029360528;NaN;NaN;NaN
188508;4,71;0,2633;0,2833;NaN;NaN;NaN;NaN;NaN;NaN;0,0023523785;NaN;NaN;NaN;0,0024502347;NaN;NaN;NaN
188509;4,65;0,2575;0,2800;NaN;NaN;NaN;NaN;NaN;NaN;0,0024039110;NaN;NaN;NaN;0,0017322996;NaN;NaN;NaN
188510;4,92;0,2517;0,2767;NaN;NaN;NaN;NaN;NaN;NaN;0,0025879337;NaN;NaN;NaN;0,0029958516;NaN;NaN;NaN
188511;5,24;0,2458;0,2733;NaN;NaN;NaN;NaN;NaN;NaN;0,0029117315;NaN;NaN;NaN;0,0028138303;NaN;NaN;NaN
188512;5,20;0,2400;0,2700;NaN;NaN;NaN;NaN;NaN;NaN;0,0029558776;NaN;NaN;NaN;0,0030264326;NaN;NaN;NaN
188601;5,20;0,2383;0,2750;NaN;NaN;NaN;NaN;NaN;NaN;0,0028160749;NaN;NaN;NaN;0,0017293802;NaN;NaN;NaN
188602;5,30;0,2367;0,2800;NaN;NaN;NaN;NaN;NaN;NaN;0,0025143287;NaN;NaN;NaN;0,0015474234;NaN;NaN;NaN
